                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75468,                0.81426,                 1.2043,                0.85465,                0.80846,                0.90246,                0.76226,                0.69756,                0.73712,                 1.1692,             0.00064338,             0.00064338,             0.00064338
                     36,                0.73678,                0.80981,                 1.1952,                0.84743,                0.80175,                0.89588,                0.75225,                0.70573,                0.81224,                 1.1711,             0.00063958,             0.00063958,             0.00063958
                     37,                0.74688,                0.80646,                 1.1964,                0.87435,                0.80212,                0.90893,                0.76321,                0.69523,                0.72922,                 1.1606,             0.00063577,             0.00063577,             0.00063577
                     38,                0.74683,                0.82109,                 1.2012,                0.84435,                0.81202,                0.89559,                0.75274,                0.69861,                  0.742,                 1.1737,             0.00063196,             0.00063196,             0.00063196
                     39,                0.74556,                 0.8076,                 1.1938,                0.86434,                0.80892,                0.90623,                0.76786,                0.66961,                0.70911,                 1.1467,             0.00062816,             0.00062816,             0.00062816
                     40,                 0.7346,                0.79704,                 1.1926,                0.84365,                0.82052,                0.90667,                0.76714,                0.68435,                0.71322,                 1.1631,             0.00062435,             0.00062435,             0.00062435
                     41,                0.72821,                0.78175,                 1.1852,                0.86222,                0.81178,                0.90818,                0.76701,                0.68098,                0.69866,                 1.1573,             0.00062054,             0.00062054,             0.00062054
                     42,                 0.7239,                 0.7734,                 1.1814,                0.88235,                0.79399,                 0.9054,                0.76816,                0.68832,                0.70765,                 1.1626,             0.00061674,             0.00061674,             0.00061674
                     43,                0.72732,                0.76774,                 1.1876,                0.85287,                 0.8178,                0.90969,                0.77126,                0.67461,                0.70203,                 1.1513,             0.00061293,             0.00061293,             0.00061293
                     44,                0.71385,                0.74531,                 1.1777,                0.86586,                0.84074,                 0.9139,                0.77437,                0.67411,                0.69663,                 1.1464,             0.00060912,             0.00060912,             0.00060912
                     45,                0.72558,                0.76421,                 1.1831,                0.87433,                0.82738,                0.91399,                0.77876,                 0.6717,                0.67804,                  1.142,             0.00060532,             0.00060532,             0.00060532
                     46,                0.71571,                0.74989,                 1.1695,                0.87781,                0.79373,                0.90722,                0.77311,                0.66476,                0.71837,                 1.1402,             0.00060151,             0.00060151,             0.00060151
                     47,                0.70901,                0.73053,                 1.1671,                0.87436,                0.82511,                0.91538,                0.78129,                0.66288,                0.67525,                 1.1381,             0.00059771,             0.00059771,             0.00059771
                     48,                0.71594,                0.74604,                 1.1718,                0.86158,                 0.8468,                0.91855,                0.78729,                0.65124,                 0.6631,                  1.122,              0.0005939,              0.0005939,              0.0005939
                     49,                0.71262,                0.73734,                 1.1743,                0.85046,                0.86439,                0.91619,                0.78141,                0.65506,                0.68317,                 1.1269,             0.00059009,             0.00059009,             0.00059009
                     50,                0.70592,                0.73293,                 1.1695,                0.87006,                0.84541,                0.92004,                0.78578,                0.65301,                0.66617,                 1.1253,             0.00058629,             0.00058629,             0.00058629
                     51,                0.69449,                0.72985,                 1.1653,                0.88815,                0.83721,                0.92025,                0.78993,                0.64238,                0.64534,                  1.118,             0.00058248,             0.00058248,             0.00058248
                     52,                0.70695,                0.73458,                 1.1662,                 0.8928,                0.81792,                0.92324,                0.78895,                 0.6456,                0.66143,                 1.1211,             0.00057867,             0.00057867,             0.00057867
                     53,                0.69107,                 0.7097,                 1.1555,                0.88178,                0.83038,                0.91971,                  0.791,                0.63577,                0.65162,                 1.1101,             0.00057487,             0.00057487,             0.00057487
                     54,                0.71753,                0.72576,                 1.1715,                0.86556,                0.83912,                0.91951,                0.79537,                0.63415,                0.64314,                 1.1085,             0.00057106,             0.00057106,             0.00057106
                     55,                0.69567,                0.70326,                 1.1628,                  0.887,                0.84241,                0.92284,                0.79373,                0.64728,                0.64179,                 1.1196,             0.00056725,             0.00056725,             0.00056725
                     56,                0.69514,                0.70987,                 1.1593,                0.86778,                0.84593,                0.92575,                0.79126,                0.65844,                0.62525,                 1.1293,             0.00056345,             0.00056345,             0.00056345
