                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1021,                 1.7446,                 1.6494,                0.54178,                 0.4316,                0.45651,                0.34574,                  1.119,                 2.0634,                 1.8272,             0.00064719,             0.00064719,             0.00064719
                     35,                 1.0862,                 1.6887,                 1.6383,                0.57875,                0.46347,                0.50967,                0.37852,                 1.1243,                 1.8671,                 1.8131,             0.00064338,             0.00064338,             0.00064338
                     36,                 1.0908,                 1.6931,                 1.6334,                0.61062,                0.44177,                0.50566,                0.37403,                 1.2151,                 1.9701,                 1.8832,             0.00063958,             0.00063958,             0.00063958
                     37,                 1.1126,                 1.6939,                 1.6213,                0.56059,                0.47937,                0.51918,                0.38974,                 1.1067,                 1.8497,                  1.781,             0.00063577,             0.00063577,             0.00063577
                     38,                  1.111,                 1.6576,                 1.6376,                0.65024,                0.50206,                0.56668,                0.43029,                 1.0547,                 1.8006,                 1.7274,             0.00063196,             0.00063196,             0.00063196
                     39,                 1.0591,                 1.5886,                 1.5893,                0.61736,                0.47814,                0.52846,                0.40101,                  1.079,                 1.7559,                  1.761,             0.00062816,             0.00062816,             0.00062816
                     40,                 1.0707,                 1.5813,                    1.6,                0.56475,                0.47646,                0.50682,                0.38903,                 1.0829,                 1.8576,                 1.7849,             0.00062435,             0.00062435,             0.00062435
                     41,                 1.0148,                 1.5317,                 1.5634,                0.62212,                0.47584,                0.52541,                0.39394,                  1.091,                 1.8431,                 1.7535,             0.00062054,             0.00062054,             0.00062054
                     42,                 1.0496,                 1.5038,                 1.5699,                0.61806,                0.49374,                0.53978,                0.39976,                 1.0811,                 1.9653,                 1.7312,             0.00061674,             0.00061674,             0.00061674
                     43,                  1.032,                  1.516,                 1.5579,                0.65045,                0.49649,                0.55299,                0.42243,                 1.0874,                 1.7989,                 1.7632,             0.00061293,             0.00061293,             0.00061293
                     44,                 1.0388,                 1.5091,                  1.576,                0.63931,                0.47983,                0.54483,                0.42147,                 1.0232,                 1.7873,                 1.7032,             0.00060912,             0.00060912,             0.00060912
                     45,                 1.0145,                 1.4916,                  1.542,                0.62652,                0.52291,                0.56467,                0.42941,                 1.0365,                 1.7199,                 1.7111,             0.00060532,             0.00060532,             0.00060532
                     46,                  1.034,                 1.5039,                 1.5619,                0.65011,                0.53888,                0.59284,                0.44558,                 1.0182,                 1.6765,                 1.6991,             0.00060151,             0.00060151,             0.00060151
                     47,                0.97591,                 1.4312,                 1.5109,                0.59707,                0.54145,                 0.5879,                0.44425,                 1.0047,                 1.6543,                  1.652,             0.00059771,             0.00059771,             0.00059771
                     48,                  1.046,                 1.4964,                  1.562,                0.64608,                0.52201,                0.57295,                0.43783,                 1.0148,                   1.74,                 1.6839,              0.0005939,              0.0005939,              0.0005939
                     49,                0.98564,                 1.3931,                 1.5056,                0.69143,                 0.5368,                0.59828,                 0.4603,                 1.0125,                 1.6955,                 1.6268,             0.00059009,             0.00059009,             0.00059009
                     50,                0.97992,                 1.3655,                 1.4888,                0.73316,                0.52744,                0.62033,                0.47507,                0.98441,                 1.6075,                 1.6283,             0.00058629,             0.00058629,             0.00058629
                     51,                  0.997,                 1.3959,                 1.5306,                 0.7347,                0.53519,                 0.6199,                0.47407,                 1.0044,                 1.6954,                 1.6467,             0.00058248,             0.00058248,             0.00058248
                     52,                0.97707,                 1.3673,                 1.5056,                0.65656,                0.53027,                0.61138,                0.46203,                 1.0218,                 1.6095,                 1.6625,             0.00057867,             0.00057867,             0.00057867
                     53,                0.97326,                 1.3362,                 1.5045,                0.70745,                0.51788,                0.61885,                0.48039,                0.98281,                 1.5707,                 1.6251,             0.00057487,             0.00057487,             0.00057487
                     54,                0.95346,                 1.2988,                 1.4942,                0.67767,                0.54275,                0.61418,                0.47105,                 1.0186,                 1.5953,                 1.6369,             0.00057106,             0.00057106,             0.00057106
                     55,                0.97301,                 1.3339,                  1.493,                0.74202,                0.56381,                0.65976,                0.51343,                0.95286,                 1.5005,                 1.6068,             0.00056725,             0.00056725,             0.00056725
                     56,                0.97823,                 1.3767,                 1.4984,                0.68458,                0.53633,                0.61772,                0.48121,                0.96676,                 1.5615,                 1.6226,             0.00056345,             0.00056345,             0.00056345
                     57,                0.94647,                 1.2976,                 1.4734,                0.66824,                0.54582,                0.62076,                 0.4864,                0.97743,                 1.5961,                 1.6019,             0.00055964,             0.00055964,             0.00055964
                     58,                0.93551,                 1.2936,                 1.4564,                0.76929,                0.52968,                0.63882,                0.49604,                0.99607,                 1.5427,                 1.6481,             0.00055583,             0.00055583,             0.00055583
                     59,                0.98782,                 1.2804,                 1.4864,                0.70869,                0.55419,                0.63006,                0.49642,                0.93552,                 1.5146,                 1.5638,             0.00055203,             0.00055203,             0.00055203
                     60,                0.91304,                 1.2168,                 1.4495,                0.76387,                0.56895,                 0.6745,                0.52568,                  0.965,                 1.4916,                 1.6058,             0.00054822,             0.00054822,             0.00054822
                     61,                0.90988,                 1.2138,                 1.4371,                0.68312,                0.55011,                0.62692,                0.49543,                0.95498,                 1.5957,                 1.5937,             0.00054441,             0.00054441,             0.00054441
                     62,                0.94422,                 1.2214,                 1.4572,                0.74063,                0.54318,                0.66714,                0.52644,                0.94908,                 1.4825,                 1.5796,             0.00054061,             0.00054061,             0.00054061
                     63,                0.92579,                 1.2393,                 1.4475,                0.68603,                0.54175,                0.64233,                0.50466,                0.95053,                 1.5622,                 1.5769,              0.0005368,              0.0005368,              0.0005368
                     64,                0.92703,                 1.2368,                  1.455,                0.68399,                0.57648,                   0.65,                0.50855,                0.94553,                 1.4871,                 1.5686,             0.00053299,             0.00053299,             0.00053299
                     65,                0.94795,                 1.2227,                 1.4532,                0.74558,                0.56912,                0.66585,                0.53007,                0.92198,                 1.4661,                 1.5462,             0.00052919,             0.00052919,             0.00052919
                     66,                  0.919,                 1.1916,                 1.4337,                0.72101,                0.59707,                0.68081,                0.54163,                0.90702,                 1.4014,                 1.5239,             0.00052538,             0.00052538,             0.00052538
                     67,                 0.9053,                 1.1536,                 1.4347,                0.70557,                0.57737,                0.66261,                  0.521,                0.92639,                 1.4898,                 1.5569,             0.00052157,             0.00052157,             0.00052157
                     68,                0.90127,                 1.1218,                 1.4116,                0.69362,                0.60874,                0.68046,                0.53792,                0.92162,                 1.4399,                 1.5459,             0.00051777,             0.00051777,             0.00051777
                     69,                0.88798,                 1.1461,                 1.4139,                0.76625,                0.56507,                0.67923,                0.53572,                0.92797,                 1.4676,                 1.5417,             0.00051396,             0.00051396,             0.00051396
                     70,                0.87811,                 1.1426,                 1.4145,                0.78112,                0.59195,                0.70047,                0.56059,                0.88441,                 1.3805,                 1.5073,             0.00051015,             0.00051015,             0.00051015
                     71,                0.89541,                 1.1517,                 1.4323,                 0.7666,                0.57535,                0.68706,                0.54754,                0.91734,                 1.4101,                 1.5517,             0.00050635,             0.00050635,             0.00050635
                     72,                0.91654,                  1.134,                 1.4258,                0.72922,                0.58904,                0.66955,                0.52672,                0.90821,                 1.4905,                 1.5086,             0.00050254,             0.00050254,             0.00050254
                     73,                0.89089,                 1.1108,                 1.4068,                0.76191,                0.58975,                0.69956,                 0.5573,                0.91871,                 1.4058,                 1.5447,             0.00049873,             0.00049873,             0.00049873
                     74,                 0.9283,                 1.1322,                 1.4301,                0.74284,                0.58327,                0.68771,                0.54339,                0.91522,                 1.3806,                 1.5305,             0.00049493,             0.00049493,             0.00049493
                     75,                0.88029,                 1.0877,                 1.4156,                 0.7735,                0.58659,                0.69703,                0.55659,                0.90547,                 1.3417,                 1.5248,             0.00049112,             0.00049112,             0.00049112
                     76,                 0.8781,                 1.0908,                 1.4029,                0.73137,                0.61129,                0.70289,                0.56044,                0.90885,                 1.3407,                 1.5113,             0.00048732,             0.00048732,             0.00048732
                     77,                0.86739,                 1.0737,                 1.3943,                  0.767,                0.57927,                0.69397,                0.54668,                0.94015,                 1.4008,                 1.5634,             0.00048351,             0.00048351,             0.00048351
                     78,                0.86729,                 1.0754,                 1.3932,                 0.7656,                0.63207,                0.73079,                0.58543,                0.90434,                 1.2706,                 1.5219,              0.0004797,              0.0004797,              0.0004797
                     79,                 0.8762,                 1.0585,                 1.3856,                0.76972,                0.59966,                0.71187,                0.56731,                0.90114,                 1.3061,                 1.5003,              0.0004759,              0.0004759,              0.0004759
                     80,                 0.8593,                 1.0757,                 1.3807,                0.74207,                0.63546,                0.71921,                0.57153,                0.89079,                 1.3458,                 1.5053,             0.00047209,             0.00047209,             0.00047209
                     81,                0.86576,                 1.0809,                 1.3867,                0.81094,                0.59765,                0.72848,                0.57908,                0.89379,                 1.3228,                 1.5036,             0.00046828,             0.00046828,             0.00046828
                     82,                0.85588,                 1.0424,                  1.378,                0.76917,                0.60337,                0.70535,                0.56144,                0.92546,                 1.3432,                 1.5444,             0.00046448,             0.00046448,             0.00046448
                     83,                0.87853,                 1.0202,                 1.3829,                0.78521,                0.63296,                 0.7375,                0.58586,                0.89454,                 1.2449,                 1.5024,             0.00046067,             0.00046067,             0.00046067
                     84,                0.81981,                 1.0024,                 1.3557,                  0.769,                0.63172,                0.72846,                0.58257,                0.89135,                 1.2824,                 1.5004,             0.00045686,             0.00045686,             0.00045686
                     85,                0.81874,                0.99793,                 1.3516,                0.74688,                0.59797,                0.70302,                0.56103,                0.90535,                 1.3413,                 1.5131,             0.00045306,             0.00045306,             0.00045306
                     86,                0.86593,                 1.0221,                 1.3768,                0.72763,                0.64295,                0.73416,                0.58955,                0.87881,                 1.2871,                 1.4923,             0.00044925,             0.00044925,             0.00044925
                     87,                0.84683,                 0.9761,                 1.3505,                0.75541,                0.63559,                 0.7231,                0.57262,                0.87087,                 1.2739,                 1.4706,             0.00044544,             0.00044544,             0.00044544
                     88,                0.85862,                 1.0263,                 1.3741,                0.78369,                   0.65,                0.74398,                0.60326,                 0.8617,                  1.233,                 1.4773,             0.00044164,             0.00044164,             0.00044164
                     89,                0.80995,                0.94701,                 1.3451,                0.77528,                0.64307,                0.73702,                0.59134,                0.86736,                 1.2834,                 1.4787,             0.00043783,             0.00043783,             0.00043783
                     90,                0.80885,                0.96931,                 1.3449,                0.78991,                 0.6352,                0.74059,                0.59905,                0.86491,                 1.2398,                 1.4785,             0.00043402,             0.00043402,             0.00043402
                     91,                0.81495,                0.95809,                  1.338,                0.77915,                0.60773,                0.71729,                0.57554,                0.88164,                 1.3364,                 1.4896,             0.00043022,             0.00043022,             0.00043022
                     92,                0.80761,                0.95483,                 1.3467,                0.78717,                0.64145,                0.74133,                0.59058,                0.86702,                 1.2535,                 1.4731,             0.00042641,             0.00042641,             0.00042641
                     93,                0.83597,                0.99267,                 1.3639,                0.80024,                0.63832,                0.74631,                0.58932,                0.89047,                 1.2283,                 1.4868,              0.0004226,              0.0004226,              0.0004226
                     94,                0.83813,                 1.0005,                 1.3556,                0.76031,                0.64523,                0.73235,                0.58669,                 0.8768,                 1.2721,                 1.4779,              0.0004188,              0.0004188,              0.0004188
                     95,                0.83503,                0.94099,                 1.3522,                0.78195,                0.63929,                0.74417,                0.59711,                 0.8815,                 1.2467,                  1.484,             0.00041499,             0.00041499,             0.00041499
                     96,                0.82452,                0.95601,                 1.3441,                0.77218,                0.66404,                0.75111,                0.59959,                 0.8454,                  1.231,                 1.4473,             0.00041118,             0.00041118,             0.00041118
                     97,                0.82485,                0.93346,                   1.34,                0.80753,                0.63042,                0.73748,                0.58985,                0.88501,                 1.2298,                 1.5178,             0.00040738,             0.00040738,             0.00040738
                     98,                0.81641,                0.93438,                 1.3512,                0.78929,                0.64498,                0.74442,                0.59759,                0.85345,                 1.2048,                 1.4562,             0.00040357,             0.00040357,             0.00040357
                     99,                0.79748,                0.90593,                  1.325,                0.81084,                0.64856,                 0.7601,                0.60906,                0.86406,                 1.1881,                  1.468,             0.00039976,             0.00039976,             0.00039976
                    100,                0.79422,                0.89151,                  1.321,                0.80805,                0.66267,                0.76688,                0.61789,                  0.865,                 1.1765,                  1.476,             0.00039596,             0.00039596,             0.00039596
                    101,                0.79101,                0.92463,                 1.3389,                0.80906,                 0.6631,                0.76306,                 0.6192,                0.84768,                 1.1586,                 1.4602,             0.00039215,             0.00039215,             0.00039215
                    102,                0.79563,                0.89272,                 1.3114,                0.82786,                0.65896,                0.77896,                0.63463,                 0.8252,                 1.1449,                 1.4253,             0.00038835,             0.00038835,             0.00038835
                    103,                 0.7944,                 0.8869,                 1.3242,                0.77963,                0.67829,                0.75938,                0.61217,                0.86878,                 1.1942,                  1.462,             0.00038454,             0.00038454,             0.00038454
                    104,                0.80217,                  0.903,                 1.3248,                 0.8204,                0.65279,                0.76655,                0.61682,                 0.8374,                 1.1743,                 1.4425,             0.00038073,             0.00038073,             0.00038073
                    105,                0.77759,                0.86992,                 1.3053,                0.79531,                0.68548,                0.78228,                0.63594,                0.84662,                 1.1255,                 1.4505,             0.00037693,             0.00037693,             0.00037693
                    106,                0.77826,                0.89046,                 1.3093,                0.79345,                0.66589,                0.76165,                0.61894,                0.82253,                 1.1824,                 1.4275,             0.00037312,             0.00037312,             0.00037312
                    107,                0.79066,                0.90417,                 1.3317,                0.80308,                0.67024,                0.77596,                0.62829,                0.82664,                 1.1354,                 1.4334,             0.00036931,             0.00036931,             0.00036931
                    108,                0.77493,                0.85821,                 1.3056,                0.79295,                0.66968,                0.77263,                0.62844,                0.83886,                 1.1394,                 1.4289,             0.00036551,             0.00036551,             0.00036551
                    109,                0.77482,                0.85414,                 1.3091,                0.82361,                0.66907,                0.76732,                0.62712,                0.81665,                 1.1623,                 1.4212,              0.0003617,              0.0003617,              0.0003617
                    110,                0.76187,                 0.8557,                 1.2976,                0.78127,                0.67167,                0.76361,                0.61628,                0.85666,                 1.1927,                 1.4618,             0.00035789,             0.00035789,             0.00035789
                    111,                0.78133,                0.86465,                 1.3031,                0.81035,                0.66203,                0.77038,                0.63138,                0.83448,                 1.1424,                   1.43,             0.00035409,             0.00035409,             0.00035409
                    112,                0.75449,                0.83682,                 1.2861,                0.79235,                0.69119,                0.77693,                0.62804,                0.83028,                 1.1105,                 1.4206,             0.00035028,             0.00035028,             0.00035028
                    113,                0.77463,                0.86169,                 1.3035,                0.78564,                0.66976,                 0.7613,                0.61446,                0.82875,                 1.1803,                 1.4283,             0.00034647,             0.00034647,             0.00034647
                    114,                0.78312,                0.84743,                  1.294,                0.80712,                0.67731,                0.77741,                0.63614,                0.83005,                 1.0941,                 1.4246,             0.00034267,             0.00034267,             0.00034267
                    115,                0.77701,                0.83022,                 1.2985,                0.80843,                0.66187,                0.76904,                0.62484,                0.82907,                 1.1603,                 1.4263,             0.00033886,             0.00033886,             0.00033886
                    116,                0.76406,                0.80817,                 1.2787,                0.79876,                0.66333,                0.76064,                 0.6171,                0.85117,                  1.171,                  1.445,             0.00033505,             0.00033505,             0.00033505
                    117,                 0.7568,                0.79478,                 1.2944,                0.80972,                0.65243,                0.75212,                0.61104,                0.85596,                 1.1843,                 1.4612,             0.00033125,             0.00033125,             0.00033125
                    118,                0.74119,                  0.814,                 1.2796,                0.78553,                0.68074,                0.77011,                0.62684,                0.83239,                 1.1487,                 1.4325,             0.00032744,             0.00032744,             0.00032744
                    119,                0.73105,                0.79785,                 1.2746,                0.80499,                0.64615,                 0.7682,                0.62305,                0.83769,                 1.1505,                 1.4323,             0.00032363,             0.00032363,             0.00032363
                    120,                0.74267,                0.79867,                 1.2755,                0.82688,                0.65638,                0.76416,                0.61826,                0.83014,                 1.1565,                 1.4199,             0.00031983,             0.00031983,             0.00031983
                    121,                0.75053,                0.79361,                 1.2803,                0.81807,                0.66974,                0.77442,                0.63518,                0.82194,                 1.1479,                 1.4244,             0.00031602,             0.00031602,             0.00031602
                    122,                0.72551,                0.77904,                 1.2568,                0.79712,                 0.6848,                0.78338,                 0.6426,                0.81799,                 1.0968,                  1.417,             0.00031221,             0.00031221,             0.00031221
                    123,                0.75104,                0.78985,                 1.2702,                0.79973,                0.69185,                0.78247,                0.63732,                0.82828,                 1.1035,                 1.4183,             0.00030841,             0.00030841,             0.00030841
                    124,                0.72707,                0.77232,                 1.2592,                0.82278,                0.67795,                0.78394,                 0.6446,                0.82459,                 1.0951,                 1.4333,              0.0003046,              0.0003046,              0.0003046
                    125,                0.72653,                 0.7718,                 1.2635,                0.80692,                0.67265,                0.77494,                 0.6289,                 0.8348,                 1.1386,                 1.4197,             0.00030079,             0.00030079,             0.00030079
                    126,                0.75662,                0.78551,                 1.2605,                0.81608,                0.66584,                0.77372,                0.63281,                0.82496,                 1.1279,                 1.4208,             0.00029699,             0.00029699,             0.00029699
                    127,                0.73797,                0.78351,                 1.2674,                0.80732,                 0.6962,                0.78525,                0.64741,                0.79885,                 1.0635,                 1.3898,             0.00029318,             0.00029318,             0.00029318
                    128,                0.72962,                0.76196,                 1.2619,                0.82262,                0.68923,                0.79125,                0.65267,                0.81441,                 1.0702,                 1.4123,             0.00028937,             0.00028937,             0.00028937
                    129,                0.71514,                0.73657,                 1.2563,                0.79293,                0.69267,                0.78275,                 0.6416,                0.81316,                 1.0987,                 1.4061,             0.00028557,             0.00028557,             0.00028557
                    130,                0.73497,                0.76893,                  1.279,                0.81816,                0.68253,                0.79146,                0.64559,                0.81778,                 1.0976,                 1.4105,             0.00028176,             0.00028176,             0.00028176
                    131,                0.72183,                0.74848,                  1.251,                0.80977,                0.68387,                0.78538,                0.64633,                0.81018,                 1.0993,                 1.4031,             0.00027796,             0.00027796,             0.00027796
                    132,                0.73696,                0.76142,                 1.2592,                0.84472,                0.64035,                0.76393,                0.62258,                0.82342,                 1.1318,                 1.4113,             0.00027415,             0.00027415,             0.00027415
                    133,                0.72156,                0.74121,                 1.2548,                0.80521,                0.69017,                0.78552,                0.64748,                0.80432,                 1.0939,                 1.3962,             0.00027034,             0.00027034,             0.00027034
                    134,                0.72798,                0.74905,                 1.2498,                0.84119,                0.66062,                0.78699,                0.64632,                 0.8106,                 1.1255,                 1.3891,             0.00026654,             0.00026654,             0.00026654
                    135,                0.74327,                0.78712,                 1.2684,                0.81219,                 0.6688,                0.78269,                0.64503,                 0.8033,                 1.0968,                 1.3917,             0.00026273,             0.00026273,             0.00026273
                    136,                0.70272,                0.71572,                 1.2453,                0.81806,                0.68349,                0.78844,                0.65219,                0.79926,                  1.084,                 1.3809,             0.00025892,             0.00025892,             0.00025892
                    137,                0.70017,                0.71661,                 1.2507,                0.80715,                0.70478,                0.78751,                0.64834,                0.81599,                 1.0962,                 1.4078,             0.00025512,             0.00025512,             0.00025512
                    138,                0.72672,                0.74812,                 1.2595,                0.82542,                0.68265,                0.78898,                0.64989,                0.80233,                 1.0659,                 1.3878,             0.00025131,             0.00025131,             0.00025131
                    139,                0.69057,                0.69771,                 1.2225,                0.84762,                0.67431,                0.79102,                0.65417,                0.80627,                 1.0794,                 1.3938,              0.0002475,              0.0002475,              0.0002475
                    140,                0.72757,                0.72684,                 1.2417,                0.80136,                 0.7023,                0.78763,                0.64766,                0.80141,                 1.0515,                  1.391,              0.0002437,              0.0002437,              0.0002437
                    141,                0.69465,                0.68773,                 1.2314,                0.79166,                0.71451,                 0.7944,                0.65704,                0.79111,                 1.0463,                 1.3852,             0.00023989,             0.00023989,             0.00023989
