                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4916,                 1.6869,                 1.7718,                0.38789,                0.28528,                0.25125,                0.10743,                 2.1234,                 2.3744,                  2.391,             0.00044268,             0.00044268,             0.00044268
                     35,                 1.4874,                 1.6298,                 1.7629,                0.50015,                0.26788,                0.25181,                0.10576,                 2.0519,                 2.2879,                 2.3328,             0.00044008,             0.00044008,             0.00044008
                     36,                 1.4871,                 1.6116,                 1.7517,                0.42728,                0.27107,                0.24186,                 0.1041,                 2.0389,                 2.3125,                 2.2732,             0.00043747,             0.00043747,             0.00043747
                     37,                 1.4696,                 1.6138,                 1.7477,                0.41368,                0.27003,                0.25067,                0.10577,                 2.1051,                 2.2658,                 2.3528,             0.00043487,             0.00043487,             0.00043487
                     38,                 1.4631,                 1.5879,                   1.74,                0.39732,                 0.3172,                0.27379,                0.11693,                 2.0472,                 2.2241,                 2.3187,             0.00043227,             0.00043227,             0.00043227
                     39,                 1.4727,                 1.5688,                 1.7374,                0.35077,                0.26893,                0.24587,                0.10507,                 2.0703,                 2.3484,                 2.3308,             0.00042966,             0.00042966,             0.00042966
                     40,                 1.4532,                 1.5497,                 1.7338,                0.34449,                0.27247,                0.24556,                0.10493,                 2.0711,                 2.3003,                 2.3369,             0.00042706,             0.00042706,             0.00042706
                     41,                 1.4344,                  1.536,                 1.7171,                0.34975,                0.32616,                 0.2766,                0.11762,                 2.0228,                 2.2498,                 2.2827,             0.00042446,             0.00042446,             0.00042446
                     42,                 1.4517,                 1.5407,                 1.7158,                0.42226,                0.28115,                0.26793,                0.10916,                 2.1284,                 2.3517,                 2.3845,             0.00042185,             0.00042185,             0.00042185
                     43,                 1.4276,                 1.5176,                 1.7169,                0.36774,                0.30744,                 0.2604,                0.10949,                 2.0673,                 2.3713,                 2.3022,             0.00041925,             0.00041925,             0.00041925
                     44,                 1.4314,                 1.4983,                 1.7116,                0.43497,                0.31458,                 0.2654,                 0.1142,                 2.0678,                 2.2883,                 2.3221,             0.00041664,             0.00041664,             0.00041664
                     45,                 1.4369,                 1.4924,                 1.7018,                0.34879,                0.29555,                0.25408,                0.11301,                 2.0558,                 2.3134,                 2.3115,             0.00041404,             0.00041404,             0.00041404
                     46,                  1.409,                 1.4793,                 1.6885,                0.39553,                 0.3183,                0.26894,                0.11515,                 2.0693,                 2.2813,                 2.3314,             0.00041144,             0.00041144,             0.00041144
                     47,                 1.4115,                 1.4477,                 1.6955,                0.39264,                0.30432,                0.26363,                0.10918,                 2.1047,                 2.3469,                 2.3721,             0.00040883,             0.00040883,             0.00040883
                     48,                 1.4023,                 1.4376,                 1.6786,                0.30837,                0.31933,                0.27015,                0.11453,                 2.0962,                 2.3327,                 2.3444,             0.00040623,             0.00040623,             0.00040623
